Datum;Anzahl
2021-01-01;
2021-01-02;
2021-01-03;
2021-01-04;
2021-01-05;
2021-01-06;
2021-01-07;
2021-01-08;
2021-01-09;
2021-01-10;
2021-01-11;
2021-01-12;
2021-01-13;
2021-01-14;
2021-01-15;
2021-01-16;
2021-01-17;
2021-01-18;
2021-01-19;
2021-01-20;
2021-01-21;
2021-01-22;
2021-01-23;
2021-01-24;
2021-01-25;
2021-01-26;
2021-01-27;
2021-01-28;1197
2021-01-29;15694
2021-01-30;1424
2021-01-31;939
2021-02-01;884
2021-02-02;1502
2021-02-03;2643
2021-02-04;1671
2021-02-05;2598
2021-02-06;2791
2021-02-07;511
2021-02-08;287
2021-02-09;148
2021-02-10;222
2021-02-11;169
2021-02-12;179
2021-02-13;181
2021-02-14;127
2021-02-15;65
2021-02-16;90
2021-02-17;171
2021-02-18;245
2021-02-19;347
2021-02-20;246
2021-02-21;160
2021-02-22;139
2021-02-23;268
2021-02-24;240
2021-02-25;545
2021-02-26;565
2021-02-27;297
2021-02-28;147
2021-03-01;133
2021-03-02;359
2021-03-03;589
2021-03-04;475
2021-03-05;427
2021-03-06;411
2021-03-07;150
2021-03-08;126
2021-03-09;354
2021-03-10;583
2021-03-11;554
2021-03-12;312
2021-03-13;254
2021-03-14;156
2021-03-15;94
2021-03-16;236
2021-03-17;235
2021-03-18;215
2021-03-19;218
2021-03-20;144
2021-03-21;49
2021-03-22;60
2021-03-23;113
2021-03-24;143
2021-03-25;269
2021-03-26;185
2021-03-27;140
2021-03-28;48
2021-03-29;66
2021-03-30;101
2021-03-31;84
2021-04-01;138
2021-04-02;84
2021-04-03;37
2021-04-04;6
2021-04-05;38
2021-04-06;78
2021-04-07;66
2021-04-08;71
2021-04-09;107
2021-04-10;82
2021-04-11;29
2021-04-12;47
2021-04-13;105
2021-04-14;122
2021-04-15;83
2021-04-16;80
2021-04-17;92
2021-04-18;24
2021-04-19;23
2021-04-20;67
2021-04-21;69
2021-04-22;58
2021-04-23;46
2021-04-24;58
2021-04-25;19
2021-04-26;25
2021-04-27;112
2021-04-28;84
2021-04-29;93
2021-04-30;48
2021-05-01;53
2021-05-02;0
2021-05-03;0
2021-05-04;0
2021-05-05;42
2021-05-06;161
2021-05-07;180
2021-05-08;126
2021-05-09;41
2021-05-10;61
2021-05-11;119
2021-05-12;92
2021-05-13;105
2021-05-14;114
2021-05-15;
2021-05-16;
2021-05-17;
2021-05-18;
2021-05-19;
2021-05-20;
2021-05-21;
2021-05-22;
2021-05-23;
2021-05-24;
2021-05-25;
2021-05-26;
2021-05-27;
2021-05-28;
2021-05-29;
2021-05-30;
2021-05-31;
